,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2020-06-17 09:06:59.875,4.552286499999999,4.0,0.7286166293582141,1.266710999999999,3.375,5.375,6.808571624999995
2020-06-17 09:07:31.875,4.191656999999999,1.75,0.08663212351301297,0.0653359999999994,0.375,1.875,0.12250499999999886
2020-06-17 09:07:43.250,4.388875,2.25,0.30183157101693325,0.4035459999999995,1.625,3.375,1.3619677499999985
2020-06-17 09:08:02.375,5.7281325,4.0,0.41272298914176986,1.6255829999999998,,,
2020-06-17 09:08:12.375,5.2033949999999995,3.125,0.1959132348144692,0.44133900000000015,1.375,3.875,1.7101886250000007
2020-06-17 09:08:22.875,5.44565,3.125,0.19272317922996507,0.7809569999999999,,,
2020-06-17 09:08:25.875,6.8814045,2.375,1.041285008309302,1.2897095000000007,1.5,3.375,4.3527695625000025
2020-06-17 09:08:32.875,6.750073,1.875,0.9978434519318071,0.8346910000000003,1.0,2.5,2.0867275000000007
2020-06-17 09:08:49.750,5.288075,1.875,0.14421237163772815,0.13899949999999972,1.375,2.75,0.38224862499999923
2020-06-17 09:08:58.625,6.058865000000001,3.25,0.39863080932554595,0.6157770000000014,1.5,3.5,2.1552195000000047
2020-06-17 09:09:08.750,5.900440000000001,2.375,0.4211801096609733,0.532937500000001,,,
2020-06-17 09:09:13.000,6.222846,1.875,0.4814490349691525,0.3999119999999996,1.0,2.5,0.999779999999999
2020-06-17 09:09:22.750,6.431079,3.75,0.6747053672019803,0.9218050000000009,1.25,3.125,2.8806406250000025
2020-06-17 09:09:35.125,5.603866,2.375,0.19780872470043676,0.27735799999999955,0.875,2.75,0.7627344999999988
2020-06-17 09:09:44.000,5.751833,3.25,0.32483314852701994,0.5547160000000009,1.625,3.5,1.941506000000003
2020-06-17 09:11:01.875,4.31265,4.0,0.1984216821208591,0.31130699999999933,,,
2020-06-17 09:11:38.375,3.8424864999999997,2.125,0.18082851511347542,0.1902434999999998,,,
2020-06-17 09:11:44.500,3.943053,2.375,0.17222572952929482,0.17551099999999975,1.25,3.125,0.5484718749999993
2020-06-17 09:12:07.875,4.5612545,4.0,0.47853954616285677,0.9711450000000004,,,
2020-06-17 09:12:28.250,4.2133650000000005,2.875,0.22838042857378582,0.4419800000000005,1.875,4.0,1.767920000000002
2020-06-17 09:12:50.125,3.745123,2.25,0.142281046527458,0.11593950000000008,1.375,3.125,0.36231093750000026
2020-06-17 09:13:01.625,4.128812,3.25,0.2742361173983916,0.5316559999999999,3.0,5.0,2.6582799999999995
2020-06-17 09:13:23.375,3.6906760000000003,3.0,0.07800203535291317,0.14476400000000034,1.125,3.125,0.45238750000000105
