EpochNum,StartTime,EndTime,BinaryLabels,MulticlassLabels
193,2020-06-12 06:54:17,2020-06-12 06:54:22,1.0,1.0
194,2020-06-12 06:54:22,2020-06-12 06:54:27,-1.0,-1.0
195,2020-06-12 06:54:27,2020-06-12 06:54:32,1.0,1.0
196,2020-06-12 06:54:32,2020-06-12 06:54:37,1.0,1.0
197,2020-06-12 06:54:37,2020-06-12 06:54:42,1.0,1.0
198,2020-06-12 06:54:42,2020-06-12 06:54:47,1.0,1.0
199,2020-06-12 06:54:47,2020-06-12 06:54:52,1.0,1.0
200,2020-06-12 06:54:52,2020-06-12 06:54:57,1.0,1.0
201,2020-06-12 06:54:57,2020-06-12 06:55:02,1.0,1.0
202,2020-06-12 06:55:02,2020-06-12 06:55:07,1.0,1.0
203,2020-06-12 06:55:07,2020-06-12 06:55:12,1.0,1.0
204,2020-06-12 06:55:12,2020-06-12 06:55:17,1.0,1.0
205,2020-06-12 06:55:17,2020-06-12 06:55:22,1.0,1.0
206,2020-06-12 06:55:22,2020-06-12 06:55:27,1.0,1.0
207,2020-06-12 06:55:27,2020-06-12 06:55:32,1.0,1.0
208,2020-06-12 06:55:32,2020-06-12 06:55:37,1.0,1.0
209,2020-06-12 06:55:37,2020-06-12 06:55:42,1.0,1.0
210,2020-06-12 06:55:42,2020-06-12 06:55:47,1.0,1.0
211,2020-06-12 06:55:47,2020-06-12 06:55:52,1.0,1.0
212,2020-06-12 06:55:52,2020-06-12 06:55:57,1.0,1.0
213,2020-06-12 06:55:57,2020-06-12 06:56:02,1.0,1.0
214,2020-06-12 06:56:02,2020-06-12 06:56:07,1.0,1.0
215,2020-06-12 06:56:07,2020-06-12 06:56:12,1.0,1.0
216,2020-06-12 06:56:12,2020-06-12 06:56:17,1.0,1.0
217,2020-06-12 06:56:17,2020-06-12 06:56:22,1.0,1.0
218,2020-06-12 06:56:22,2020-06-12 06:56:27,1.0,1.0
219,2020-06-12 06:56:27,2020-06-12 06:56:32,1.0,1.0
220,2020-06-12 06:56:32,2020-06-12 06:56:37,1.0,1.0
221,2020-06-12 06:56:37,2020-06-12 06:56:42,1.0,1.0
222,2020-06-12 06:56:42,2020-06-12 06:56:47,1.0,1.0
223,2020-06-12 06:56:47,2020-06-12 06:56:52,1.0,1.0
224,2020-06-12 06:56:52,2020-06-12 06:56:57,1.0,1.0
225,2020-06-12 06:56:57,2020-06-12 06:57:02,1.0,1.0
226,2020-06-12 06:57:02,2020-06-12 06:57:07,1.0,1.0
227,2020-06-12 06:57:07,2020-06-12 06:57:12,1.0,1.0
228,2020-06-12 06:57:12,2020-06-12 06:57:17,1.0,1.0
229,2020-06-12 06:57:17,2020-06-12 06:57:22,1.0,1.0
230,2020-06-12 06:57:22,2020-06-12 06:57:27,-1.0,1.0
231,2020-06-12 06:57:27,2020-06-12 06:57:32,1.0,1.0
232,2020-06-12 06:57:32,2020-06-12 06:57:37,1.0,1.0
233,2020-06-12 06:57:37,2020-06-12 06:57:42,1.0,1.0
234,2020-06-12 06:57:42,2020-06-12 06:57:47,1.0,1.0
235,2020-06-12 06:57:47,2020-06-12 06:57:52,1.0,1.0
236,2020-06-12 06:57:52,2020-06-12 06:57:57,1.0,1.0
237,2020-06-12 06:57:57,2020-06-12 06:58:02,1.0,1.0
238,2020-06-12 06:58:02,2020-06-12 06:58:07,1.0,1.0
239,2020-06-12 06:58:07,2020-06-12 06:58:12,-1.0,-1.0
240,2020-06-12 06:58:12,2020-06-12 06:58:17,1.0,1.0
241,2020-06-12 06:58:17,2020-06-12 06:58:22,1.0,1.0
242,2020-06-12 06:58:22,2020-06-12 06:58:27,1.0,1.0
243,2020-06-12 06:58:27,2020-06-12 06:58:32,1.0,1.0
244,2020-06-12 06:58:32,2020-06-12 06:58:37,1.0,1.0
245,2020-06-12 06:58:37,2020-06-12 06:58:42,1.0,1.0
246,2020-06-12 06:58:42,2020-06-12 06:58:47,1.0,1.0
247,2020-06-12 06:58:47,2020-06-12 06:58:52,1.0,1.0
248,2020-06-12 06:58:52,2020-06-12 06:58:57,1.0,1.0
249,2020-06-12 06:58:57,2020-06-12 06:59:02,1.0,1.0
250,2020-06-12 06:59:02,2020-06-12 06:59:07,1.0,1.0
251,2020-06-12 06:59:07,2020-06-12 06:59:12,1.0,1.0
252,2020-06-12 06:59:12,2020-06-12 06:59:17,1.0,1.0
253,2020-06-12 06:59:17,2020-06-12 06:59:22,1.0,1.0
254,2020-06-12 06:59:22,2020-06-12 06:59:27,1.0,1.0
255,2020-06-12 06:59:27,2020-06-12 06:59:32,1.0,1.0
256,2020-06-12 06:59:32,2020-06-12 06:59:37,1.0,1.0
257,2020-06-12 06:59:37,2020-06-12 06:59:42,1.0,1.0
258,2020-06-12 06:59:42,2020-06-12 06:59:47,1.0,1.0
259,2020-06-12 06:59:47,2020-06-12 06:59:52,1.0,1.0
260,2020-06-12 06:59:52,2020-06-12 06:59:57,1.0,1.0
261,2020-06-12 06:59:57,2020-06-12 07:00:02,1.0,1.0
262,2020-06-12 07:00:02,2020-06-12 07:00:07,1.0,1.0
263,2020-06-12 07:00:07,2020-06-12 07:00:12,1.0,1.0
264,2020-06-12 07:00:12,2020-06-12 07:00:17,1.0,1.0
265,2020-06-12 07:00:17,2020-06-12 07:00:22,1.0,1.0
266,2020-06-12 07:00:22,2020-06-12 07:00:27,1.0,1.0
267,2020-06-12 07:00:27,2020-06-12 07:00:32,1.0,1.0
268,2020-06-12 07:00:32,2020-06-12 07:00:37,1.0,1.0
269,2020-06-12 07:00:37,2020-06-12 07:00:42,1.0,1.0
270,2020-06-12 07:00:42,2020-06-12 07:00:47,1.0,1.0
271,2020-06-12 07:00:47,2020-06-12 07:00:52,1.0,1.0
272,2020-06-12 07:00:52,2020-06-12 07:00:57,1.0,1.0
273,2020-06-12 07:00:57,2020-06-12 07:01:02,1.0,1.0
274,2020-06-12 07:01:02,2020-06-12 07:01:07,1.0,1.0
275,2020-06-12 07:01:07,2020-06-12 07:01:12,1.0,1.0
276,2020-06-12 07:01:12,2020-06-12 07:01:17,1.0,1.0
277,2020-06-12 07:01:17,2020-06-12 07:01:22,1.0,1.0
278,2020-06-12 07:01:22,2020-06-12 07:01:27,1.0,1.0
279,2020-06-12 07:01:27,2020-06-12 07:01:32,-1.0,-1.0
280,2020-06-12 07:01:32,2020-06-12 07:01:37,1.0,1.0
281,2020-06-12 07:01:37,2020-06-12 07:01:42,1.0,1.0
282,2020-06-12 07:01:42,2020-06-12 07:01:47,1.0,1.0
283,2020-06-12 07:01:47,2020-06-12 07:01:52,1.0,1.0
284,2020-06-12 07:01:52,2020-06-12 07:01:57,-1.0,-1.0
285,2020-06-12 07:01:57,2020-06-12 07:02:02,1.0,1.0
286,2020-06-12 07:02:02,2020-06-12 07:02:07,1.0,1.0
287,2020-06-12 07:02:07,2020-06-12 07:02:12,1.0,1.0
288,2020-06-12 07:02:12,2020-06-12 07:02:17,1.0,1.0
289,2020-06-12 07:02:17,2020-06-12 07:02:22,1.0,1.0
290,2020-06-12 07:02:22,2020-06-12 07:02:27,1.0,1.0
291,2020-06-12 07:02:27,2020-06-12 07:02:32,1.0,1.0
292,2020-06-12 07:02:32,2020-06-12 07:02:37,1.0,1.0
293,2020-06-12 07:02:37,2020-06-12 07:02:42,1.0,1.0
294,2020-06-12 07:02:42,2020-06-12 07:02:47,1.0,1.0
295,2020-06-12 07:02:47,2020-06-12 07:02:52,1.0,1.0
296,2020-06-12 07:02:52,2020-06-12 07:02:57,1.0,1.0
297,2020-06-12 07:02:57,2020-06-12 07:03:02,1.0,1.0
298,2020-06-12 07:03:02,2020-06-12 07:03:07,1.0,1.0
299,2020-06-12 07:03:07,2020-06-12 07:03:12,1.0,1.0
300,2020-06-12 07:03:12,2020-06-12 07:03:17,1.0,1.0
301,2020-06-12 07:03:17,2020-06-12 07:03:22,1.0,1.0
302,2020-06-12 07:03:22,2020-06-12 07:03:27,1.0,1.0
303,2020-06-12 07:03:27,2020-06-12 07:03:32,1.0,1.0
304,2020-06-12 07:03:32,2020-06-12 07:03:37,1.0,1.0
305,2020-06-12 07:03:37,2020-06-12 07:03:42,1.0,1.0
306,2020-06-12 07:03:42,2020-06-12 07:03:47,1.0,1.0
307,2020-06-12 07:03:47,2020-06-12 07:03:52,1.0,1.0
308,2020-06-12 07:03:52,2020-06-12 07:03:57,1.0,1.0
309,2020-06-12 07:03:57,2020-06-12 07:04:02,1.0,1.0
310,2020-06-12 07:04:02,2020-06-12 07:04:07,1.0,1.0
311,2020-06-12 07:04:07,2020-06-12 07:04:12,1.0,1.0
312,2020-06-12 07:04:12,2020-06-12 07:04:17,1.0,1.0
313,2020-06-12 07:04:17,2020-06-12 07:04:22,1.0,1.0
314,2020-06-12 07:04:22,2020-06-12 07:04:27,1.0,1.0
315,2020-06-12 07:04:27,2020-06-12 07:04:32,1.0,1.0
316,2020-06-12 07:04:32,2020-06-12 07:04:37,1.0,1.0
317,2020-06-12 07:04:37,2020-06-12 07:04:42,1.0,1.0
318,2020-06-12 07:04:42,2020-06-12 07:04:47,1.0,1.0
319,2020-06-12 07:04:47,2020-06-12 07:04:52,1.0,1.0
320,2020-06-12 07:04:52,2020-06-12 07:04:57,1.0,1.0
321,2020-06-12 07:04:57,2020-06-12 07:05:02,1.0,1.0
322,2020-06-12 07:05:02,2020-06-12 07:05:07,1.0,1.0
323,2020-06-12 07:05:07,2020-06-12 07:05:12,1.0,1.0
324,2020-06-12 07:05:12,2020-06-12 07:05:17,1.0,1.0
325,2020-06-12 07:05:17,2020-06-12 07:05:22,1.0,1.0
326,2020-06-12 07:05:22,2020-06-12 07:05:27,1.0,1.0
327,2020-06-12 07:05:27,2020-06-12 07:05:32,1.0,1.0
328,2020-06-12 07:05:32,2020-06-12 07:05:37,1.0,1.0
329,2020-06-12 07:05:37,2020-06-12 07:05:42,1.0,1.0
330,2020-06-12 07:05:42,2020-06-12 07:05:47,1.0,1.0
331,2020-06-12 07:05:47,2020-06-12 07:05:52,1.0,1.0
332,2020-06-12 07:05:52,2020-06-12 07:05:57,1.0,1.0
333,2020-06-12 07:05:57,2020-06-12 07:06:02,1.0,1.0
334,2020-06-12 07:06:02,2020-06-12 07:06:07,1.0,1.0
335,2020-06-12 07:06:07,2020-06-12 07:06:12,1.0,1.0
336,2020-06-12 07:06:12,2020-06-12 07:06:17,1.0,1.0
337,2020-06-12 07:06:17,2020-06-12 07:06:22,1.0,1.0
338,2020-06-12 07:06:22,2020-06-12 07:06:27,1.0,1.0
339,2020-06-12 07:06:27,2020-06-12 07:06:32,1.0,1.0
340,2020-06-12 07:06:32,2020-06-12 07:06:37,1.0,1.0
341,2020-06-12 07:06:37,2020-06-12 07:06:42,1.0,1.0
342,2020-06-12 07:06:42,2020-06-12 07:06:47,1.0,1.0
343,2020-06-12 07:06:47,2020-06-12 07:06:52,1.0,1.0
344,2020-06-12 07:06:52,2020-06-12 07:06:57,1.0,1.0
345,2020-06-12 07:06:57,2020-06-12 07:07:02,1.0,1.0
346,2020-06-12 07:07:02,2020-06-12 07:07:07,1.0,1.0
347,2020-06-12 07:07:07,2020-06-12 07:07:12,1.0,1.0
348,2020-06-12 07:07:12,2020-06-12 07:07:17,1.0,1.0
349,2020-06-12 07:07:17,2020-06-12 07:07:22,1.0,1.0
350,2020-06-12 07:07:22,2020-06-12 07:07:27,-1.0,1.0
351,2020-06-12 07:07:27,2020-06-12 07:07:32,1.0,1.0
352,2020-06-12 07:07:32,2020-06-12 07:07:37,1.0,1.0
353,2020-06-12 07:07:37,2020-06-12 07:07:42,1.0,1.0
354,2020-06-12 07:07:42,2020-06-12 07:07:47,1.0,1.0
355,2020-06-12 07:07:47,2020-06-12 07:07:52,1.0,1.0
356,2020-06-12 07:07:52,2020-06-12 07:07:57,1.0,1.0
357,2020-06-12 07:07:57,2020-06-12 07:08:02,1.0,1.0
358,2020-06-12 07:08:02,2020-06-12 07:08:07,1.0,1.0
359,2020-06-12 07:08:07,2020-06-12 07:08:12,1.0,1.0
360,2020-06-12 07:08:12,2020-06-12 07:08:17,1.0,1.0
361,2020-06-12 07:08:17,2020-06-12 07:08:22,1.0,1.0
362,2020-06-12 07:08:22,2020-06-12 07:08:27,1.0,1.0
363,2020-06-12 07:08:27,2020-06-12 07:08:32,1.0,1.0
